order_id,customer_name,age,purchase_date,purchase_amount,city
101,John Smith,34,1/10/2023,250.75,New York
102,Jane Doe,28,1/2/2023,100,new york
103,Alice Jones,,1/15/2023,350.4,Chicago
104,Bob Brown,45,1/20/2023,200,Chicago
104,Bob Brown,45,1/20/2023,200,Chicago
105,Charlie Black,-1,1/25/2023,175,Los Angeles
106,Dana White,30,1/30/2023,,Boston
107,Eva Green,27,2/2/2023,300.1,boston
108,Frank Blue,31,2/5/2023,225.5,LOS ANGELES
109,Grace Pink,29,2/10/2023,400,New York
110,Henry Grey,,2/15/2023,150,Boston
